id	cluster	evidence_file	line	issue	impact	recommended_action	effort_days	risk
SC-1	solver_status_policy	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/controllers/cbf_clf/cbf_clf_qp_generator.py	510	Controller accepts only status==1 while simulator messaging still implies status 2 acceptance	Safety diagnostics inconsistency	Unify status contract and messages across solver/controller/simulator	0.5-1.0	High
SC-2	nan_input_status	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/controllers/cbf_clf/cbf_clf_qp_generator.py	528	Status -2 (NAN_INPUT_DETECTED) introduced in controller path	Incomplete status observability if simulator map lags	Extend simulator status map/tests for -2	0.25-0.5	High
SC-3	simulator_status_warning	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/simulation/simulator.py	113	Simulator warns status 2 may be accepted while controller marks as failure	Operator confusion and false confidence	Update warning logic to strict-success semantics	0.25-0.5	High
SC-4	api_contract_controller_callable	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/utils/user_types.py	235	ControllerCallable now requires non-optional Control argument	Downstream runtime/type compatibility risk	Add compatibility adapter and migration notes	0.5-1.0	High
SC-5	api_contract_simulation_results	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/utils/user_types.py	84	SimulationResults introduced with dictionary-like key access	Consumer code relying on strict tuple semantics may break	Add explicit backward compatibility tests and docs	0.5-1.0	Medium
SC-6	dependency_profile_split	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/pyproject.toml	33	Runtime dependencies moved to extras (casadi/vis/codegen/test/dev)	Environment mismatch and optional feature breakage	Add CI dependency-profile matrix and smoke tests	1.5-2.5	High
SC-7	optional_dep_runtime_error_casadi	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/optimization/quadratic_program/qp_solver_casadi.py	41	CasADi missing now throws actionable ImportError	Mode-specific runtime failures if extras absent	Gate casadi paths behind smoke tests and docs	0.5-1.0	Medium
SC-8	optional_dep_runtime_error_vis	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/utils/visualization.py	20	Matplotlib missing now throws actionable ImportError	Visualization workflows fail without vis extra	Add vis smoke tests and install guidance checks	0.5-1.0	Medium
SC-9	duplicated_integration_logic_python	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/simulation/backend.py	157	Explicit forward_euler/RK4 fast-path logic duplicated in Python stack	Future behavior drift vs JIT path	Factor shared integration helper and parity tests	1.0-1.5	High
SC-10	duplicated_integration_logic_jit	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/simulation/simulator_jit.py	167	Explicit forward_euler/RK4 fast-path logic duplicated in JIT stack	Future behavior drift vs Python path	Factor shared integration helper and parity tests	1.0-1.5	High
SC-11	mppi_algorithm_rewrite	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/controllers/mppi/mppi_source.py	76	MPPI weighted sum/sampling/rollout rewritten with lax.scan and vmap	Potential behavior and performance regression	Add deterministic parity tests + benchmark thresholds	1.5-2.5	High
SC-12	observability_stack_change	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/simulation/callbacks.py	3	Progress backend switched from tqdm to rich	TTY/non-TTY CI output behavior changes	Validate logs under CI and pipe modes	0.5-1.0	Medium
SC-13	tutorial_entrypoint_churn	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/tutorials/mppi_cbf_reach_avoid.py	1	Tutorial entrypoints removed/renamed while README/tests updated	User command breakage for old paths	Provide deprecation shims or migration mapping	1.0-1.5	Medium
SC-14	structural_debt_artifacts	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/.jules/relay_tasks.json	1	Automation planner artifacts carried in branch	Review noise and long-term maintenance debt	Decide retention policy and clean tree	0.5-1.0	Medium
SC-15	low_direct_test_coverage_casadi	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/optimization/quadratic_program/qp_solver_casadi.py	1	Casadi QP tests are mostly commented/skip-based	Integration blind spot	Enable at least one casadi-enabled CI smoke test	0.5-1.0	Medium
SC-16	low_direct_test_coverage_quadrotor_lqr	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/utils/lqr.py	1	New LQR utility path has no direct test references	Potential numerical/shape regressions	Add unit tests for compute_lqr_gain and quadrotor use-sites	0.5-1.0	Medium
SC-17	low_direct_test_coverage_ros_wrappers	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/ros/controller_wrappers.py	1	ROS and ROS2 controller wrapper paths changed without direct smoke validation	Runtime fallback/publish behavior could drift	Add wrapper smoke tests with dependency stubs for ROS and ROS2 modules	0.5-1.0	Medium
SC-18	quadrotor_dynamics_tuple_contract	/Users/bardhh/.codex/worktrees/2948/cbfkit-remote/src/cbfkit/systems/quadrotor_6dof/controllers/geometric.py	8	Geometric controller assumed dynamics returns (f, g) but native quadrotor dynamics returns (f, g, s)	Runtime controller failure for 6DOF quadrotor path	Add tuple-compatible drift extraction and direct geometric controller smoke tests	0.5-1.0	Medium
